events,description,batter,stand,launch_angle,launch_speed,hc_x,hc_y,pitcher,p_throws,pitch_type,release_speed,release_spin_rate,hit
field_out,hit_into_play,456715,R,-25.0,100.0,119.91,147.0,605397.0,R,FC,89.5,2612.0,False
field_out,hit_into_play,592325,L,-7.0,101.7,130.81,145.18,605397.0,R,SL,82.8,2692.0,False
field_out,hit_into_play,668804,L,-6.0,99.9,148.98,141.55,502624.0,R,FC,91.6,2440.0,False
field_out,hit_into_play,605137,L,48.0,88.3,111.52,82.83,502624.0,R,CH,83.0,2398.0,False
field_out,hit_into_play,621028,R,38.0,62.0,161.34,129.29,502624.0,R,FF,92.6,2126.0,False
double,hit_into_play_no_out,518735,L,21.0,105.8,97.94,32.96,605397.0,R,FF,91.1,2403.0,True
field_out,hit_into_play,605397,R,39.0,78.0,183.45,108.12,502624.0,R,CU,77.5,2097.0,False
field_out,hit_into_play,624428,L,17.0,89.3,125.51,82.65,502624.0,R,CH,82.7,2259.0,False
single,hit_into_play_no_out,553869,R,21.0,70.6,141.31,109.94,502624.0,R,FC,89.0,2346.0,True
home_run,hit_into_play_score,592567,L,25.0,103.6,210.17,40.17,502624.0,R,CU,78.4,2181.0,True
field_out,hit_into_play,519058,L,33.0,77.1,105.69,83.29,605397.0,R,FF,91.3,2409.0,False
single,hit_into_play_no_out,456715,R,30.0,65.8,185.66,138.86,605397.0,R,SL,82.3,2460.0,True
field_out,hit_into_play,592885,L,69.0,80.0,96.29,186.37,605397.0,R,FF,91.7,2405.0,False
single,hit_into_play_no_out,592325,L,3.0,94.7,98.11,110.66,605397.0,R,CH,83.6,1840.0,True
field_out,hit_into_play,605137,L,22.0,86.1,196.34,91.69,502624.0,R,CH,82.3,2291.0,False
force_out,hit_into_play,516782,R,1.0,73.0,113.85,151.24,502624.0,R,CH,84.0,2381.0,False
single,hit_into_play_no_out,621028,R,1.0,82.4,88.42,118.53,502624.0,R,FT,92.1,2167.0,True
field_out,hit_into_play,606115,R,69.0,80.0,95.68,170.62,605397.0,R,SL,82.7,2473.0,False
field_out,hit_into_play,519346,L,-4.0,78.9,157.46,169.41,605397.0,R,CH,85.5,1974.0,False
field_out,hit_into_play,669374,R,7.0,106.2,108.4,148.81,605397.0,R,SL,83.3,2663.0,False
home_run,hit_into_play_score,518735,L,31.0,98.0,19.08,102.21,605397.0,R,FF,92.7,2509.0,True
home_run,hit_into_play_score,519058,L,41.0,103.8,219.08,76.24,605397.0,R,SL,83.2,2517.0,True
field_out,hit_into_play,605397,R,5.0,74.7,107.19,166.38,502624.0,R,CH,81.7,2205.0,False
field_out,hit_into_play,624428,L,69.0,80.0,90.84,185.76,502624.0,R,FF,92.8,2084.0,False
single,hit_into_play_score,553869,R,-11.0,101.1,124.15,102.18,502624.0,R,FF,93.4,2222.0,True
single,hit_into_play_no_out,668804,L,34.0,67.6,183.96,125.43,502624.0,R,CH,82.2,2265.0,True
double,hit_into_play_no_out,605137,L,39.0,57.4,77.98,149.81,502624.0,R,FF,93.6,2173.0,True
field_out,hit_into_play,456715,R,36.0,84.8,201.37,103.58,605397.0,R,FC,89.0,2412.0,False
triple,hit_into_play_score,592885,L,13.0,99.1,160.15,81.91,605397.0,R,FC,87.6,2592.0,True
