events,description,batter,stand,launch_angle,launch_speed,hc_x,hc_y,pitcher,p_throws,pitch_type,release_speed,release_spin_rate
field_out,hit_into_play,429665,R,32.0,87.9,128.54,55.49,518875,R,SL,80.7,2395.0
single,hit_into_play_no_out,429665,R,9.0,87.2,66.5,113.07,458681,R,FC,88.0,2601.0
field_out,hit_into_play,429665,R,19.0,96.1,81.47,64.34,458681,R,FC,88.5,2666.0
field_out,hit_into_play,429665,R,16.0,98.4,120.73,71.01,458681,R,FF,94.9,2367.0
double,hit_into_play_score,429665,R,0.0,98.7,37.54,103.99,455119,R,SI,95.9,2334.0
walk,ball,429665,R,,,,,571946,R,FF,95.1,2257.0
double,hit_into_play_no_out,429665,R,23.0,104.5,89.25,45.24,501985,L,KC,80.4,2531.0
field_out,hit_into_play,429665,R,29.0,82.2,208.63,101.49,501985,L,FF,94.6,2725.0
strikeout,swinging_strike,429665,R,,,,,501985,L,FF,93.5,2667.0
home_run,hit_into_play_score,429665,R,27.0,100.7,78.04,29.02,543507,R,CU,80.4,2611.0
single,hit_into_play_no_out,429665,R,10.0,102.7,66.35,115.56,502043,R,CU,80.8,2471.0
double,hit_into_play_no_out,429665,R,15.0,110.9,42.42,120.78,502043,R,FT,93.2,2112.0
field_out,hit_into_play,429665,R,28.0,87.6,86.49,65.32,502043,R,SL,84.5,2507.0
field_out,hit_into_play,429665,R,39.0,101.5,149.72,61.97,607560,R,FF,90.7,1787.0
single,hit_into_play_score,429665,R,11.0,107.0,60.44,92.83,621244,R,CU,82.6,2336.0
single,hit_into_play_no_out,429665,R,1.0,70.9,160.97,110.12,621244,R,CH,83.9,1455.0
single,hit_into_play_no_out,429665,R,-9.0,82.9,142.22,90.35,621244,R,FT,94.2,2154.0
strikeout,swinging_strike,429665,R,,,,,543483,R,SL,89.1,2616.0
single,hit_into_play_score,429665,R,12.0,87.6,103.1,144.01,527048,L,FC,90.2,2405.0
walk,ball,429665,R,,,,,527048,L,FC,88.9,2370.0
double,hit_into_play_no_out,429665,R,20.0,103.6,178.21,51.43,527048,L,FT,95.0,2028.0
single,hit_into_play_no_out,429665,R,2.0,97.3,84.42,110.12,608648,R,FF,92.7,2136.0
field_out,hit_into_play,429665,R,44.0,97.9,201.2,85.6,501381,R,FF,92.2,1883.0
strikeout,swinging_strike,429665,R,,,,,501381,R,SL,84.5,2054.0
field_out,hit_into_play,429665,R,84.0,87.6,147.29,211.51,501381,R,FF,93.0,2077.0
field_out,hit_into_play,429665,R,67.0,90.3,145.76,161.33,521230,R,FF,96.6,2173.0
