events,description,batter,stand,launch_angle,launch_speed,hc_x,hc_y,pitcher,p_throws,pitch_type,release_speed,release_spin_rate
single,hit_into_play_no_out,543829,L,-18.0,93.1,127.51,102.01,656685,L,FF,92.9,2324.0
single,hit_into_play_no_out,543829,L,11.0,95.8,123.58,89.07,458681,R,FF,91.7,2212.0
field_out,hit_into_play,543829,L,26.0,91.5,71.14,72.99,458681,R,FF,94.6,2473.0
strikeout,foul_tip,543829,L,,,,,458681,R,FF,95.0,2479.0
walk,ball,543829,L,,,,,664871,R,FF,94.7,1964.0
field_out,hit_into_play,543829,L,36.0,91.5,159.64,64.73,455119,R,FF,95.4,2334.0
strikeout,swinging_strike,543829,L,,,,,445926,R,FF,90.7,2200.0
strikeout,swinging_strike,543829,L,,,,,571946,R,FF,94.7,2315.0
field_out,hit_into_play,543829,L,39.0,89.2,76.82,110.12,571946,R,CH,,
single,hit_into_play_no_out,543829,L,10.0,98.8,189.15,126.67,425772,R,CU,69.2,1508.0
strikeout,swinging_strike,543829,L,,,,,491646,R,CH,82.8,1113.0
single,hit_into_play_score,543829,L,31.0,64.0,85.41,132.58,605488,L,SL,86.9,2268.0
single,hit_into_play_no_out,543829,L,-7.0,94.7,91.0,134.15,656685,L,FF,92.7,2116.0
sac_fly,hit_into_play_score,543829,L,21.0,80.8,170.07,88.7,656685,L,SL,87.1,2303.0
field_out,hit_into_play,543829,L,37.0,77.0,149.3,90.4,663978,R,CH,83.8,1794.0
field_out,hit_into_play,543829,L,-10.0,77.3,146.64,178.24,663978,R,CH,83.4,1593.0
